distancia_km,pasajeros,hora_recoleccion,zona_origen,zona_destino,duracion_minutos
1.8990212,1,22,74,74,5.65
4.5383388,1,17,244,166,12.916666666666666
3.3152404,1,17,75,140,13.65
1.4323126,1,6,74,42,6.5
2.3657298,1,7,74,75,12.616666666666667
1.9312079999999998,1,15,42,41,6.4
10.782578,1,11,74,138,14.65
6.179865599999999,1,10,42,42,28.666666666666668
1.5449663999999999,1,22,75,236,4.216666666666667
6.0993986,1,16,82,138,9.85
5.9867448,2,20,166,140,19.3
2.5910374000000003,1,14,244,42,10.083333333333334
1.3840324,1,8,223,223,5.983333333333333
4.1360038,1,17,75,161,18.816666666666666
5.4878494,1,16,82,70,12.55
3.781949,1,9,166,244,16.383333333333333
6.807508200000001,1,19,82,70,21.2
3.4761744,1,14,65,61,13.816666666666666
3.5566413999999997,1,10,129,226,22.566666666666666
